"ID";"observation_time";"temperature";"wind_speed";"pressure";"humidity"
146;"2025-10-25 22:26";6;1;943;78
147;"2025-10-25 23:26";6;1;943;79
148;"2025-10-25 00:26";6;0;944;81
149;"2025-10-25 01:26";6;1;943;83
150;"2025-10-26 02:26";5;1;943;85
151;"2025-10-26 03:27";4;0;942;86
152;"2025-10-26 03:27";4;0;942;86
153;"2025-10-26 05:27";4;0;942;88
154;"2025-10-26 06:27";3;0;943;89
155;"2025-10-26 07:27";3;0;942;89
156;"2025-10-26 08:27";5;0;943;86
157;"2025-10-26 09:27";8;0;944;76
158;"2025-10-26 10:27";9;0;944;70
159;"2025-10-26 11:27";11;0;942;65
160;"2025-10-26 11:27";11;0;942;65
161;"2025-10-26 13:27";13;1;941;57
162;"2025-10-26 14:27";12;1;941;63
163;"2025-10-26 13:41";12;1;941;63
164;"2025-10-26 14:45";11;2;942;71
165;"2025-10-26 15:45";9;2;942;76
166;"2025-10-26 16:45";8;2;944;88
167;"2025-10-26 17:45";8;1;944;72
168;"2025-10-26 18:45";7;0;944;74
169;"2025-10-26 19:45";6;0;944;75
170;"2025-10-26 20:45";5;1;945;80
171;"2025-10-26 21:45";4;1;946;83
172;"2025-10-26 22:46";3;1;946;83
173;"2025-10-26 23:46";2;1;946;83
174;"2025-10-26 00:46";2;1;946;82
175;"2025-10-27 01:46";1;1;946;81
176;"2025-10-27 02:46";1;1;946;82
177;"2025-10-27 03:46";1;1;946;83
178;"2025-10-27 04:46";1;1;946;84
179;"2025-10-27 05:47";0;1;946;84
180;"2025-10-27 06:47";0;1;946;83
181;"2025-10-27 07:47";2;1;945;79
182;"2025-10-27 08:47";5;0;944;70
183;"2025-10-27 09:47";6;0;944;64
184;"2025-10-27 10:47";8;0;944;56
185;"2025-10-27 11:47";9;1;942;55
186;"2025-10-27 12:47";10;2;942;55
187;"2025-10-27 13:47";10;3;941;51
188;"2025-10-27 14:47";10;2;941;51
189;"2025-10-27 15:47";9;1;941;52
190;"2025-10-27 16:47";7;1;942;57
191;"2025-10-27 17:47";5;1;942;65
192;"2025-10-27 18:47";5;1;944;71
